tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,w2m1,w2m1/k40,10,10,320,10,320,router,4.296,0.2,611.4,612.6
1,w2m1,w2m1/k40,10,10,320,10,320,router.sum,0.842,0.0,0.0,0.0
1,w2m1,w2m1/k40,10,10,320,10,320,route,5.827,0.3,0.0,0.0
1,w2m1,w2m1/k40,10,10,320,10,320,perm.up,2.950,0.1,0.0,0.0
1,w2m1,w2m1/k40,10,10,320,10,320,perm.down,2.943,0.1,0.0,0.0
1,w2m1,w2m1/k40,10,10,320,10,320,up,246.438,11.8,8509.9,74.8
1,w2m1,w2m1/k40,10,10,320,10,320,down,93.549,4.5,11208.8,131.4
1,w2m1,w2m1/k40,10,10,320,10,320,shexp.up,146.198,7.0,44.8,23.8
1,w2m1,w2m1/k40,10,10,320,10,320,shexp.down,15.810,0.8,207.3,110.1
1,w2m1,w2m1/k40,10,10,320,10,320,combine,2.758,0.1,0.0,44.6
1,w2m1,w2m1/k40,10,10,320,10,320,block,521.611,25.0,,
1,w2m1,w4m1/k40,10,20,640,10,640,router,4.338,0.2,605.5,606.7
1,w2m1,w4m1/k40,10,20,640,10,640,router.sum,0.840,0.0,0.0,0.0
1,w2m1,w4m1/k40,10,20,640,10,640,route,5.828,0.3,0.0,0.0
1,w2m1,w4m1/k40,10,20,640,10,640,perm.up,3.066,0.1,0.0,0.0
1,w2m1,w4m1/k40,10,20,640,10,640,perm.down,2.993,0.1,0.0,0.0
1,w2m1,w4m1/k40,10,20,640,10,640,up,509.738,24.5,8228.4,36.2
1,w2m1,w4m1/k40,10,20,640,10,640,down,120.847,5.8,17353.8,101.7
1,w2m1,w4m1/k40,10,20,640,10,640,shexp.up,146.076,7.0,44.9,23.8
1,w2m1,w4m1/k40,10,20,640,10,640,shexp.down,19.246,0.9,170.3,90.4
1,w2m1,w4m1/k40,10,20,640,10,640,combine,2.756,0.1,0.0,44.6
1,w2m1,w4m1/k40,10,20,640,10,640,block,815.728,39.2,,
1,w4m1,m1/k40,10,10,640,40,640,router,4.360,0.2,602.4,603.6
1,w4m1,m1/k40,10,10,640,40,640,router.sum,0.839,0.0,0.0,0.0
1,w4m1,m1/k40,10,10,640,40,640,route,5.829,0.3,0.0,0.0
1,w4m1,m1/k40,10,10,640,40,640,perm.up,3.004,0.1,0.0,0.0
1,w4m1,m1/k40,10,10,640,40,640,perm.down,3.178,0.2,0.0,0.0
1,w4m1,m1/k40,10,10,640,40,640,up,323.149,15.5,12979.5,57.0
1,w4m1,m1/k40,10,10,640,40,640,down,128.065,6.1,16375.7,96.0
1,w4m1,m1/k40,10,10,640,40,640,shexp.up,180.065,8.6,36.4,19.3
1,w4m1,m1/k40,10,10,640,40,640,shexp.down,15.759,0.8,207.9,110.5
1,w4m1,m1/k40,10,10,640,40,640,combine,2.738,0.1,0.0,44.9
1,w4m1,m1/k40,10,10,640,40,640,block,666.986,32.0,,
1,w4m1,m2/k40,10,10,640,20,640,router,4.344,0.2,604.6,605.8
1,w4m1,m2/k40,10,10,640,20,640,router.sum,0.841,0.0,0.0,0.0
1,w4m1,m2/k40,10,10,640,20,640,route,5.830,0.3,0.0,0.0
1,w4m1,m2/k40,10,10,640,20,640,perm.up,3.003,0.1,0.0,0.0
1,w4m1,m2/k40,10,10,640,20,640,perm.down,3.054,0.1,0.0,0.0
1,w4m1,m2/k40,10,10,640,20,640,up,322.180,15.5,13018.5,57.2
1,w4m1,m2/k40,10,10,640,20,640,down,106.626,5.1,19668.3,115.2
1,w4m1,m2/k40,10,10,640,20,640,shexp.up,180.370,8.7,36.3,19.3
1,w4m1,m2/k40,10,10,640,20,640,shexp.down,15.240,0.7,215.0,114.2
1,w4m1,m2/k40,10,10,640,20,640,combine,2.733,0.1,0.0,45.0
1,w4m1,m2/k40,10,10,640,20,640,block,644.221,30.9,,
1,w4m1,m4/k40,10,10,640,10,640,router,4.349,0.2,603.9,605.1
1,w4m1,m4/k40,10,10,640,10,640,router.sum,0.841,0.0,0.0,0.0
1,w4m1,m4/k40,10,10,640,10,640,route,5.827,0.3,0.0,0.0
1,w4m1,m4/k40,10,10,640,10,640,perm.up,2.997,0.1,0.0,0.0
1,w4m1,m4/k40,10,10,640,10,640,perm.down,2.990,0.1,0.0,0.0
1,w4m1,m4/k40,10,10,640,10,640,up,323.039,15.5,12983.9,57.1
1,w4m1,m4/k40,10,10,640,10,640,down,98.335,4.7,21326.6,125.0
1,w4m1,m4/k40,10,10,640,10,640,shexp.up,180.305,8.7,36.3,19.3
1,w4m1,m4/k40,10,10,640,10,640,shexp.down,22.313,1.1,146.9,78.0
1,w4m1,m4/k40,10,10,640,10,640,combine,2.725,0.1,0.0,45.1
1,w4m1,m4/k40,10,10,640,10,640,block,643.721,30.9,,
1,w4m1,w2m1/k40,10,10,640,20,640,router,4.331,0.2,606.5,607.6
1,w4m1,w2m1/k40,10,10,640,20,640,router.sum,0.843,0.0,0.0,0.0
1,w4m1,w2m1/k40,10,10,640,20,640,route,5.830,0.3,0.0,0.0
1,w4m1,w2m1/k40,10,10,640,20,640,perm.up,3.006,0.1,0.0,0.0
1,w4m1,w2m1/k40,10,10,640,20,640,perm.down,3.053,0.1,0.0,0.0
1,w4m1,w2m1/k40,10,10,640,20,640,up,323.660,15.5,12959.0,56.9
1,w4m1,w2m1/k40,10,10,640,20,640,down,132.449,6.4,15833.7,92.8
1,w4m1,w2m1/k40,10,10,640,20,640,shexp.up,180.296,8.7,36.3,19.3
1,w4m1,w2m1/k40,10,10,640,20,640,shexp.down,19.498,0.9,168.1,89.3
1,w4m1,w2m1/k40,10,10,640,20,640,combine,2.726,0.1,0.0,45.1
1,w4m1,w2m1/k40,10,10,640,20,640,block,675.692,32.4,,
1,w4m1,w4m1/k40,10,10,640,10,640,router,4.316,0.2,608.6,609.7
1,w4m1,w4m1/k40,10,10,640,10,640,router.sum,0.844,0.0,0.0,0.0
1,w4m1,w4m1/k40,10,10,640,10,640,route,5.829,0.3,0.0,0.0
1,w4m1,w4m1/k40,10,10,640,10,640,perm.up,3.000,0.1,0.0,0.0
