tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
128,2048,qt1_kt4,gemm_m2,gemm_m4,layer,1198.739,14.4,,
128,2048,qt1_kt4,gemm_m2,gemm_m8,qkv,913.584,11.0,10008.5,78.9
128,2048,qt1_kt4,gemm_m2,gemm_m8,pack,15.637,0.2,0.0,352.1
128,2048,qt1_kt4,gemm_m2,gemm_m8,idx,4.048,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m8,score,19.526,0.2,3436.9,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m8,attn,30.539,0.4,6592.4,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m8,out,285.600,3.4,14098.5,115.7
128,2048,qt1_kt4,gemm_m2,gemm_m8,layer,1268.934,15.2,,
128,2048,qt1_kt4,gemm_m4,gemm_m2,qkv,549.457,6.6,16641.1,131.2
128,2048,qt1_kt4,gemm_m4,gemm_m2,pack,15.825,0.2,0.0,347.9
128,2048,qt1_kt4,gemm_m4,gemm_m2,idx,4.002,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m2,score,19.428,0.2,3454.2,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m2,attn,30.362,0.4,6630.9,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m2,out,192.974,2.3,20865.7,171.2
128,2048,qt1_kt4,gemm_m4,gemm_m2,layer,812.048,9.7,,
128,2048,qt1_kt4,gemm_m4,gemm_m4,qkv,545.427,6.5,16764.1,132.2
128,2048,qt1_kt4,gemm_m4,gemm_m4,pack,15.667,0.2,0.0,351.4
128,2048,qt1_kt4,gemm_m4,gemm_m4,idx,4.000,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m4,score,19.238,0.2,3488.3,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m4,attn,30.662,0.4,6566.0,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m4,out,205.233,2.5,19619.3,160.9
128,2048,qt1_kt4,gemm_m4,gemm_m4,layer,820.227,9.8,,
128,2048,qt1_kt4,gemm_m4,gemm_m8,qkv,545.948,6.6,16748.1,132.0
128,2048,qt1_kt4,gemm_m4,gemm_m8,pack,15.393,0.2,0.0,357.6
